Commmon Name,Scientific name,Population,Taxon,Range,COSEWIC status,On Schedule 1 (Yes/No)?,SARA status,Action plan (Y/N/Proposed),Year,Multispecies?,Cost (per year),Number of species,Recovery measure,Action,RM,Both,Priority,Status and timeline,Partners,Terrestrial,Aquatic ,Threat or objective addressed,Multispecies Quality Control
Boreal Felt Lichen,Erioderma pedicellatum,Atlantic population,Lichens,"New Brunswick, Nova Scotia",Endangered,Yes,Endangered,Y,2018,Y,1000000,2,"Publish a website for the dissemination of information on the biology and conservation of Boreal Felt Lichen, Vole Ears Lichen, and other rare cyanolichens.",1,,,Medium,"Boreal Felt Lichen: completed 2007; revise as needed
 Vole Ears Lichen: 2017",0,1,0,All,1
Boreal Felt Lichen,Erioderma pedicellatum,Atlantic population,Lichens,"New Brunswick, Nova Scotia",Endangered,Yes,Endangered,Y,2018,Y,1000000,2,Quantify extent of the regeneration problem and encourage multi-stakeholder collaboration.,,,1,Medium,ongoing,0,1,0,Invasive non-native/alien species/diseases and problematic native species,1
Boreal Felt Lichen,Erioderma pedicellatum,Atlantic population,Lichens,"New Brunswick, Nova Scotia",Endangered,Yes,Endangered,Y,2018,Y,1000000,2,"Refine methodology developed for transplanting Boreal Felt Lichen, Boreal population (2014) and implement protocol at sites where the lichen will be lost due to immitigable anthropogenic circumstances.",,,1,Low,if deemed necessary,0,1,0,All,1
Boreal Felt Lichen,Erioderma pedicellatum,Atlantic population,Lichens,"New Brunswick, Nova Scotia",Endangered,Yes,Endangered,Y,2018,Y,1000000,2,"Research collars, tapes, and traps to ensure that cyanolichens are not negatively impacted by their use and implement where feasible.",,,1,Low,2018,0,1,0,Invasive non-native/alien species/diseases and problematic native species,1
Boreal Felt Lichen,Erioderma pedicellatum,Atlantic population,Lichens,"New Brunswick, Nova Scotia",Endangered,Yes,Endangered,Y,2018,Y,1000000,2,"Track habitat conditions (e.g., forest composition, forest age structure, presence of indicator species).",,1,,High,ongoing,0,1,0,Monitoring,1
Boreal Felt Lichen,Erioderma pedicellatum,Atlantic population,Lichens,"New Brunswick, Nova Scotia",Endangered,Yes,Endangered,Y,2018,Y,1000000,2,"Track site size and vigour (e.g., condition, health, presence of disease or herbivory) of individuals.",,1,,High,ongoing,0,1,0,Monitoring,1
Boreal Felt Lichen,Erioderma pedicellatum,Atlantic population,Lichens,"New Brunswick, Nova Scotia",Endangered,Yes,Endangered,Y,2018,Y,1000000,2,"Track threats (e.g., Logging and wood harvesting, roads, gastropod grazing).",,1,,HIgh,ongoing,0,1,0,Monitoring,1
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichens,Newfoundland and Labrador,Special Concern,Yes,Special Concern,Y,2017,Y,0,12,Conduct a comprehensive inventory to determine distribution of rare lichens in TNNP through modelling and surveying potential habitat in collaboration with partners.,,1,,0,2017-2021,0,1,0,Knowledge gaps; Habitat management and protection (Environment Canada 2010),0
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichens,Newfoundland and Labrador,Special Concern,Yes,Special Concern,Y,2017,Y,0,12,"Deliver outreach and education to the public on the importance of maintaining maternity roosts and hibernacula and the consequences of WNS. Encourage broader implementation of BMPs, decontamination, and monitoring protocols.",1,,,0,2017-2021,0,1,0,"Education and awareness, partnerships and stewardship (Environment and Climate Change Canada 2016)",1
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichens,Newfoundland and Labrador,Special Concern,Yes,Special Concern,Y,2017,Y,0,12,"Explore effectiveness of mitigation methods to reduce amount of road mortality on the Trans Canada Highway (e.g., oversized culverts/underpasses, vegetated zones, road salt alternatives or reductions)",,1,,0,2017-2021,0,1,0,Road construction (Environment Canada 2013); Habitat loss or degradation (Environment Canada 2006); Disturbance (including natural disturbances and fire) (COSEWIC 2002; Environment and Climate Change Canada 2016),1
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichens,Newfoundland and Labrador,Special Concern,Yes,Special Concern,Y,2017,Y,0,12,"Implement bat best management practices to protect roosts, individuals and potential critical habitat in TNNP and NHS. Implement decontamination protocols as required to prevent spread of WNS in TNNP and NHS in eastern Newfoundland.",1,,,0,Ongoing,0,1,0,Habitat and species conservation and management (Environment and Climate Change Canada 2016),0
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichens,Newfoundland and Labrador,Special Concern,Yes,Special Concern,Y,2017,Y,0,12,"Implement caribou best management practices to reduce disturbance in areas where caribou are known to occur, in collaboration with regional partners.",1,,,0,Ongoing,0,1,0,Habitat loss and degradation; Disturbance (including natural disturbances and fire) (COSEWIC 2002; Environment and Climate Change Canada 2016),1
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichens,Newfoundland and Labrador,Special Concern,Yes,Special Concern,Y,2017,Y,0,12,"Implement lichen best management practices to avoid disturbance of lichens and their habitat, in collaboration with regional partners.",1,,,0,Ongoing,0,1,0,Habitat management and protection (Environment Canada 2010),0
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichens,Newfoundland and Labrador,Special Concern,Yes,Special Concern,Y,2017,Y,0,12,"Implement North American bat monitoring program to determine species presence, distribution, and potential critical habitat in TNNP and NHS in eastern Newfoundland.",,1,,0,Annually,0,1,0,Knowledge gaps: Monitoring and surveys (Environment and Climate Change Canada 2016),0
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichens,Newfoundland and Labrador,Special Concern,Yes,Special Concern,Y,2017,Y,0,12,Increase amount of habitat for Olive-sided Flycatcher through prescribed fire.,1,,,0,2017-2019,0,1,0,Fire suppression (Environment Canada 2016),0
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichens,Newfoundland and Labrador,Special Concern,Yes,Special Concern,Y,2017,Y,0,12,Obtain dark sky preserve status for TNNP.,1,,,0,2018,0,1,0,Habitat and species conservation and management (Environment and Climate Change Canada 2016),1
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichens,Newfoundland and Labrador,Special Concern,Yes,Special Concern,Y,2017,Y,0,12,"Restore boreal forest and species at risk habitat through moose population reduction, prescribed burns, and replanting of target species.",1,,,0,2017-2019,0,1,0,Habitat loss and/or degradation (Environment Canada 2013); Reduction of fir regeneration due to moose browse (Environment Canada 2010),1
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichens,Newfoundland and Labrador,Special Concern,Yes,Special Concern,Y,2017,Y,0,12,"Work with partners to reduce accidental trapping in the greater ecosystem by increasing use of modified traps and snares (i.e., trapper education and compliance program, supporting trapping/ snaring-free zones)",1,,,0,2017-2021,0,1,0,Trapping and snaring (Environment Canada 2013),1
Boreal Owl,Aegolius funereus,,Birds,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
Bowhead Whale,Balaena mysticetus,Bering-Chukchi-Beaufort population,Mammals (marine),Arctic Ocean,Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Bowhead Whale,Balaena mysticetus,Davis Strait-Baffin Bay population,Mammals (marine),Arctic Ocean,Non-active,No schedule,No Status,N,,,,,,,,,,,,,,,
Bowhead Whale,Balaena mysticetus,Eastern and Western Arctic populations,Mammals (marine),Arctic Ocean,Non-active,No schedule,No Status,N,,,,,,,,,,,,,,,
Bowhead Whale,Balaena mysticetus,Eastern Arctic population,Mammals (marine),Arctic Ocean,Non-active,,Endangered,N,,,,,,,,,,,,,,,
Bowhead Whale,Balaena mysticetus,Eastern Canada-West Greenland population,Mammals (marine),Arctic Ocean,Special Concern,No schedule,No Status,N,,,,,,,,,,,,,,,
Bowhead Whale,Balaena mysticetus,Hudson Bay-Foxe Basin population,Mammals (marine),Arctic Ocean,Non-active,No schedule,No Status,N,,,,,,,,,,,,,,,
Branched Bartonia,Bartonia paniculata  ssp. paniculata,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened,N,,,,,,,,,,,,,,,
Branched Phacelia,Phacelia ramosissima,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered,N,,,,,,,,,,,,,,,
Bridle Shiner,Notropis bifrenatus,,Fishes (freshwater),"Ontario, Quebec",Special Concern,Schedule 1,Special Concern,Y,2016,Y,0,34,,,,,,,,0,1,,1
Brindled Madtom,Noturus miurus,,Fishes (freshwater),Ontario,Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
Broad Beech Fern,Phegopteris hexagonoptera,,Vascular Plants,"Ontario, Quebec",Special Concern,,Special Concern,N,,,,,,,,,,,,,,,
Broad-banded Forestsnail,Allogona profunda,,Molluscs,Ontario,Endangered,Schedule 1,Endangered,Y,2016,Y,0,66,Inclusion of Indigenous Traditional Know ledge: Engage the Caldw ell First Nation and the Walpole Island First Nation to collaboratively develop and implement methods to meaningfully incorporate ATK into management practices for SAR at PPNP and NNHS.,0,0,1,0,Ongoing,0,1,0,"Inclusion of Traditional Ecological Know ledge To better inform assessment, monitoring, and recovery of the ecosystems that support species at risk.",1
Brook Floater,Alasmidonta varicosa,,Molluscs,"New Brunswick, Nova Scotia",Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Brook Silverside,Labidesthes sicculus,,Fishes (freshwater),"Ontario, Quebec",Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
Brook Spike-primrose,Epilobium torreyi,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered,N,,,,,,,,,,,,,,,
Brown Cat Shark,Apristurus brunneus,,Fishes (marine),Pacific Ocean,Data Deficient,No schedule,No Status,N,,,,,,,,,,,,,,,
Buffalograss,Bouteloua dactyloides,,Vascular Plants,"Saskatchewan, Manitoba",Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Buff-breasted Sandpiper,Tryngites subruficollis,,Birds,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec",Special Concern,Schedule 1,Special Concern,Y,2016,Y,0,66,Inclusion of Indigenous Traditional Know ledge: Engage the Caldw ell First Nation and the Walpole Island First Nation to collaboratively develop and implement methods to meaningfully incorporate ATK into management practices for SAR at PPNP and NNHS.,0,0,1,0,Ongoing,0,1,0,"Inclusion of Traditional Ecological Know ledge To better inform assessment, monitoring, and recovery of the ecosystems that support species at risk.",1
Buff-breasted Sandpiper,Tryngites subruficollis,,Birds,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec",Special Concern,Schedule 1,Special Concern,Y,2016,Y,0,66,"Manage Rare Bird Sightings: Mitigate visitor disturbance to migrating individuals or nesting SAR birds at PPNP; communication, area closures, and patrols to promote compliance.",1,0,0,0,Ongoing,0,1,0,Protect individuals from harassment.,1
Bull Trout,Salvelinus confluentus,Pacific populations,Fishes (freshwater),British Columbia,Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
Bull Trout,Salvelinus confluentus,Saskatchewan - Nelson Rivers populations,Fishes (freshwater),Alberta,Threatened,No,Threatened,Y,2017,Y,0,18,"Collect and analyze sediment cores from Carthew Pond to investigate historical presence; if determined historically present, feasible and appropriate, proceed with re-establishment at that site.",,,1,0,"Cores analyzed by 2018,
 possible re-establishment by 2021",0,0,1," Collect and analyze sediment cores from Summit Lake (baseline) and Carthew Pond to investigate historical presence.
  Determine why the population was historically extirpated and if the Carthew Pond is suitable habitat for re-establishment.
  If Carthew Pond is suitable, proceed with re-establishment of population.
  If re-establishment is undertaken, publish results in peer-reviewed publication.",1
Bull Trout,Salvelinus confluentus,Saskatchewan - Nelson Rivers populations,Fishes (freshwater),Alberta,Threatened,No,Threatened,Y,2017,Y,0,18,"Continue to implement WLNP invasive plant inventory and control program to maintain habitat, targeting SAR habitats as much as possible. Prepare an invasive plant management plan at BURNHS which may also positively impact SAR.",,,1,0,2017-2021 in WLNP. BURNHS plan prepared by 2018.,0,0,1,Threat of alien invasive species.,1
Bull Trout,Salvelinus confluentus,Saskatchewan - Nelson Rivers populations,Fishes (freshwater),Alberta,Threatened,No,Threatened,Y,2017,Y,0,18,Develop and implement pesticide best management practices for WLNP and BURNHS with the recovery needs of aerial insectivore and invertebrate species at risk in mind.,,,1,0,Plan developed by 2017. Implementation 2018-2021.,0,0,1,"Threat of reduced availability of insect prey, pesticide use.",1
Bull Trout,Salvelinus confluentus,Saskatchewan - Nelson Rivers populations,Fishes (freshwater),Alberta,Threatened,No,Threatened,Y,2017,Y,0,18,"Explore the interests of various Indigenous communities in SAR education and recovery. Collaborate with interested communities on outreach, education and visitor experience actions in mutually agreed upon ways.",,,1,0,2017-2021,0,0,1,"Specific to the species knowledge gaps or outreach, education and visitor experience measures.",1
Bull Trout,Salvelinus confluentus,Saskatchewan - Nelson Rivers populations,Fishes (freshwater),Alberta,Threatened,No,Threatened,Y,2017,Y,0,18,"Identify breeding and nesting sites opportunistically, targeting high probability sites, and encourage the public to share observations.",,1,,0,,0,0,1,Threat of habitat disturbance and destruction.,0
Bull Trout,Salvelinus confluentus,Saskatchewan - Nelson Rivers populations,Fishes (freshwater),Alberta,Threatened,No,Threatened,Y,2017,Y,0,18,"Implement measures (e.g. best management practices, seasonal closures if required) to protect known nest sites and known nesting habitat from destruction or disturbance.",1,,,0,2017-2021,0,0,1,Threat of habitat disturbance and destruction.,1
Bull Trout,Salvelinus confluentus,Saskatchewan - Nelson Rivers populations,Fishes (freshwater),Alberta,Threatened,No,Threatened,Y,2017,Y,0,18,"Incorporate within the service delivery agreement law enforcement patrols to prevent disturbance, destruction or removal of species at risk and their habitats.",1,,,0,,0,0,1,Improve species at risk protection and awareness.,1
Bull Trout,Salvelinus confluentus,Saskatchewan - Nelson Rivers populations,Fishes (freshwater),Alberta,Threatened,No,Threatened,Y,2017,Y,0,18,"Increase general awareness about species at risk that are found in the park/site, through interpretive programming, targeted communications, stakeholder engagement and outreach.",1,,,0,2017-2021,0,0,1,"Specific to species knowledge gaps or outreach, education and visitor experience measures.",1
Bull Trout,Salvelinus confluentus,Saskatchewan - Nelson Rivers populations,Fishes (freshwater),Alberta,Threatened,No,Threatened,Y,2017,Y,0,18,"Integrate use of a mobile species occurrence reporting application for WLNP and BURNHS staff, volunteers and visitors to electronically submit species at risk observations which inform management activities.",,1,,0,,0,0,1,Support species at risk data collection efforts for recovery and management planning and monitoring.,1
Bull Trout,Salvelinus confluentus,Saskatchewan - Nelson Rivers populations,Fishes (freshwater),Alberta,Threatened,No,Threatened,Y,2017,Y,0,18,"Provide timely and effective species-specific communications to target audiences to disseminate knowledge, enhance understanding, and ensure",1,,,0,2017-2021,0,0,1,Human disturbance; habitat loss or degradation; accidental mortality.,1
Bull Trout,Salvelinus confluentus,Saskatchewan - Nelson Rivers populations,Fishes (freshwater),Alberta,Threatened,No,Threatened,Y,2017,Y,0,18,Strengthen species at risk recovery by working with Indigenous communities to incorporate Traditional Knowledge into species at risk understanding.,,,1,0,By 2019,0,0,1,Engage First Nations in species at risk recovery and management.,1
Bull Trout,Salvelinus confluentus,Saskatchewan - Nelson Rivers populations,Fishes (freshwater),Alberta,Threatened,No,Threatened,Y,2017,Y,0,18,Survey appropriate habitats to determine the extent to which WLNP is used by Lewis's woodpecker.,,1,,0,2017-2021,0,0,1,Conduct research and monitoring to improve knowledge of breeding habitat use and demographic trends.,0
Bull Trout,Salvelinus confluentus,South Coast British Columbia populations,Fishes (freshwater),British Columbia,Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Bull Trout,Salvelinus confluentus,Upper Yukon Watershed populations,Fishes (freshwater),"British Columbia, Yukon",Data Deficient,No schedule,No Status,N,,,,,,,,,,,,,,,
Bull Trout,Salvelinus confluentus,Western Arctic populations,Fishes (freshwater),"British Columbia, Yukon, Northwest Territories, Alberta",Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Bullsnake,Pituophis catenifer  sayi,,Reptiles,"Alberta, Saskatchewan",Special Concern,No schedule,No Status,N,,,,,,,,,,,,,,,
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,1.1.1 Conduct research on the interactive effects of climate change on species at risk and their habitats in southern Saskatchewan in order to understand how to manage threats and implement risk management tools to address different climate scenarios,,1,,Medium,New – 2018-2021,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"1.2.1 Develop a baseline geospatial inventory of land use and land cover for the SoD area, and monitor the cumulative effects of development on habitat loss and degradation compared to this baseline on an ongoing basis",,1,,High,Ongoing: develop over 2016-2021,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"1.2.2 Determine threshold levels at which developments and land management practices affect the survival and recovery of species, both individually and in a multi-species context.",,1,,Medium,New – 2019,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,1.2.3 Identify native habitat at high risk of being lost or degraded due to changes in land use.,,1,,Medium,Ongoing 2016-2021,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,1.2.4 Test and evaluate native grassland and sagebrush restoration methods in the context of creating suitable habitat for species at risk.,,1,,Medium,Ongoing 2016-2019,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"1.2.5 Investigate hydrology in the SoD area and identify areas where alteration of natural hydrology may affect habitat use, and/or survival and reproduction of species at risk.",,1,,Low,Ongoing 2016-2021,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"1.2.6 Develop processes and procedures for on-the-ground verification of critical habitat, land use and land cover in the SoD area and ensure that a central repository is created to capture disparate sources of such information.",,1,,Medium,New – 2017-2022,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,1.3.1 Determine relationships between range condition/ health and species at risk populations and habitat requirements.,,1,,Medium,Ongoing 2016-2021,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"1.3.2 Determine the effectiveness of current beneficial management practices related to grazing management as it affects species at risk, both individually and in a multi-species context, and develop new beneficial management practices if necessary.",,1,,Medium,Ongoing 2016- 2021,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"1.4.1 Conduct systematic information gathering and mapping to assess the magnitude and location of disturbances and mortality to species at risk caused by linear developments, infrastructure, and industrial activities, to be used in a management plan for linear developments and infrastructure (see 2.4.1)",,1,,Medium,New – 2019,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"1.4.2 Assess the design and use of low-cost techniques (e.g., diversion structures, culverts, mowing and native grass planting on road edges) to minimize mortality of species at risk caused by linear developments.",,1,,Low,New – 2018-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,1.4.3 Assess new technologies for noise mitigation.,,1,,Low,New – 2018-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"1.4.4 Assess ways of minimizing the effects of vertical structures, in part by further researching thresholds at which populations are affected for various types of vertical structures.",,1,,Low,Ongoing 2016-2021,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"1.5.1 Assess the impacts of predation on survival and reproduction of species at risk in the SoD area, and recommend practical options for management.",,1,,Low,Ongoing 2016-2021,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"1.6.1 Determine effective methods to promote recovery actions to land managers, other resource users, First Nations and Métis people, and other stakeholders in the SoD area, and remove barriers to their participation in recovery actions, so that stakeholders are increasingly engaged in recovery actions for species at risk.",,,1,Medium,Ongoing 2016-2021,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"1.6.2 Investigate economic costs and benefits related to grazing management systems and other activities, such as ecotourism, that either support or depend on the maintenance of critical habitat for species at risk.",,1,,Medium,New 2018-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"2.1.3 Implement practical (hands on, in the field) approaches to improve survival or reproductive success of ground- and burrow-nesting avian species at risk in the SoD area.",1,,,Low,New – 2018-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"2.1.5 Temporarily bring wild individuals into captivity for life stages associated with high mortality, to increase population growth and survival rate. (e.g. BUOW Head Start Program whereby the youngest chick(s) are removed from the nest and captive reared over the winter, then soft released the following spring whereby they pair up and breed). Assess if Headstart Program changes the trajectory of the BUOW population.",1,,,Low,New –2017-2022,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"2.2.1 Develop and implement a Disease Management Plan that assesses risks posed by different diseases, sets priorities for disease management activities and evaluates the efficacy of different disease management approaches.",,,1,Medium,New – 2018-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"2.3.1 Test, implement, evaluate and refine beneficial management practices for cropland and hayland to reduce accidental mortality and disturbance to species at risk, by considering the timing, intensity and frequency of various farming activities.",,,1,Low,New – 2018-2020,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"2.3.2 Develop and encourage Integrated Pest Management in the SoD area, to minimize pest control impacts on species at risk while providing cost-effective management of agricultural pests.",,,1,Low,New – 2018-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"2.4.1 Develop an adaptive management approach for linear development and infrastructure to reduce disturbance and accidental mortality to species at risk, in order to guide permitting procedures. This could include seasonal/temporal access restrictions; reduced speed limits or no stopping in sensitive areas; and using alternate routes during sensitive periods. Promote compliance with and monitor adherence to existing and new guidelines.",,1,,Medium,New – 2017-2022,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"3.1.1 Develop and implement results-based stewardship approaches that support deliberate grazing management and other land management tools to provide high quality habitat for species at risk under a variety of climatic conditions, including drought and other extreme weather.",,,1,High,Ongoing 2016-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"3.1.2 Develop and implement stewardship agreements that implement agricultural best management practices that support grazing management and other land management tools to provide high quality habitat for species at risk under a variety of climatic conditions, including drought and other extreme weather.",,,1,Medium,"Ongoing
 2016-2022",0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"3.2.1 Implement policies and protocols for reclamation of all types of disturbed sites that prioritize use of native species appropriate to the ecosite, and that address removal of unused infrastructure.",1,,,Medium,Ongoing 2016-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,3.2.3 Provide incentives to support targeted conversion of cropland and tame pasture to native-seeded grassland and/or native shrub plantings that will benefit species at risk.,1,,,Medium,New – 2018-2022,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"3.3.1 Develop a plan for invasive plant species that promotes prevention and mitigation, including guidelines for reducing the spread of invasives by human activity, modeling spread patterns, implementing a surveillance system for early detection of invasions,supporting rapid response to invasions, and promoting compliance and uptake of beneficial practices.",,1,,Low,Ongoing 2016-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,3.3.2 Contribute to provincial invasive species spatial database.,,1,,Low,Ongoing 2016-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"4.1.1 Review, consolidate, refine, and if necessary develop new regulations and guidelines and promotional programs and policies for industrial activities and other developments, in order to reduce mortality and disturbance to species at risk, and to reduce degradation of their habitats.",,,1,Medium,Ongoing 2016-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,4.1.2 Promote species at risk conservation as a key component of future regional water management plans in the SoD area.,1,,,Low,Ongoing 2016-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"4.1.3 Identify contradictory policies impacting species at risk habitat in the SoD area, and modify these policies to align with habitat needs of species at risk.",,,1,Medium,Ongoing 2016-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"4.1.4 Investigate the utility of conservation agreements, including those under SARA s.11, to effectively protect critical habitat.",,1,,High,Ongoing 2016-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"5.1.2 Communicate, collaborate and engage with land managers, the agricultural community, other resource sectors, and First Nations and Métis people about conservation programs, beneficial management practices and regulatory requirements for species at risk. Incorporate local knowledge and interests into conservation practices and programs.",,,1,High,Ongoing 2016-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"5.1.3 Develop and distribute protocols for field researchers aimed at improving communication about their activities with land managers on whose land they are working, including protocols for seeking permission to access land and for providing timely feedback on research results.",,,1,Medium,Ongoing 2015,0,1,0,0,1
